"name","unp","instrument_uuid","ticker","share_kind"
"ЗАО ""Агростандарт""","190917649","1a4357e5","T5108-S0001","common"
"ЗАО ""Агрострой""","200017556","0076b859","T5541-S0001","common"
"ЗАО ""Агрохиминвест""","192715864","c44aae86","T6081-S0001","common"
"ЗАО ""АГРОЭКСПЕРИМЕНТ""","690322252","3da01171","T5695-S0001","common"
"ЗАО ""АДВИН Смарт Фэктори""","100054851","7a94dab0","T8888-S0001","common"
"ЗАО ""АДИПОЛЬ""","600205757","0d15521c","T2878-S0001","common"
"ЗАО ""Адмирал Хуссо""","691618530","95042287","T5739-S0001","common"
"ЗАО ""АЖУР инкам""","193405000","f53b508c","T6486-S0001","common"
"ЗАО ""АЖЫНА""","100028213","8849cf99","T2708-S0001","common"
"ЗАО ""АЙГЕНИС""","100862882","2257f1c7","Aigen-S0001","common"
"ЗАО ""АЙРОНТЕЛ""","100985931","973544a6","T4275-S0001","common"
"ЗАО ""АйЭсТи Интернэшнл Софтвэа Технолоджи""","191700095","d7d256a1","T4152-S0001","common"
"ЗАО ""АКАДЕМТРАНС""","100670028","f023a1cb","T2630-S0001","common"
"ЗАО ""Аквапромлит""","691322780","e7291248","T3799-S0001","common"
"ЗАО ""АКЛИЯ""","100008301","19de7863","T4835-S0003","common"
"ЗАО ""АКТАГОР-ТЕЛЕКОМ""","190635776","c5b6df58","T2606-S0001","common"
"ЗАО ""АКЦЕНТ-ИНВЕСТ""","190934602","992d5c7f","T6267-S0001","common"
"ЗАО ""АлТехЭкспорт""","810001407","bcc11d4d","T5914-S0001","common"
"ЗАО ""АЛТОЛАН""","100977667","56c1fc0e","T6162-S0001","common"
"ЗАО ""Альбион Групп""","191309141","e236ccfe","T2930-S0001","common"
"ЗАО ""АЛЬВЕНА-ИНФО""","101035412","0ac4435b","T5947-S0004","common"
"ЗАО ""АЛЬТЕРНАТИВА Брест""","291427570","8b2d5b4a","T5366-S0001","common"
"ЗАО ""Альфа-Актив""","290426827","808ded30","T2979-S0001","common"
"ЗАО ""Альфа-Актив""","290426827","9885d549","T2979-S0002P","preferred"
"ЗАО ""Альфа-Банк""","101541947","cb5102b9","ALFA-S0001","common"
"ЗАО ""Амвольт Витебск""","391000791","b091c5bc","T2883-S0001","common"
"ЗАО ""Амвольт Могилев""","812001613","545ba463","T2744-S0001","common"
"ЗАО ""Амвольт Несвиж""","690658888","cdf2c94a","T4947-S0001","common"
"ЗАО ""Амкодор-Пинск""","200548726","0d62b77f","T4250-S0001","common"
"ЗАО ""АМКОДОР-РЭН-МОНАРС""","100626808","e99184da","T5209-S0003","common"
"ЗАО ""Амкодор-Спецсервис""","100187680","d1bc5193","T4368-S0001","common"
"ЗАО ""АМКОДОР-УНИКАБ""","600077950","e001505f","T2830-S0001","common"
"ЗАО ""Амкодор-Эластомер""","100124928","9815451f","T5982-S0001","common"
"ЗАО ""АМПЕРЫ""","391621965","c4c0cbfe","T6065-S0001","common"
"ЗАО ""АМТЕСТ""","100029250","3b4974e3","T6079-S0001","common"
"ЗАО ""Аналитресурс""","192430474","25116cfc","T5176-S0001","common"
"ЗАО ""Андрусерра Агро""","690557753","703e8241","T6449-S0001","common"
"ЗАО ""АНКОР БиУай""","191301444","690884a3","T2784-S0001","common"
"ЗАО ""АНПЛАСТ""","300424715","4ff3fdd5","T5674-S0001","common"
"ЗАО ""Анхель Трейд""","690249809","7ff5e822","T5801-S0001","common"
"ЗАО ""Аптека групп Юг""","700232696","9c8526e8","T5637-S0001","common"
"ЗАО ""АренаКапитал""","192500487","aaae7553","T5234-S0001","common"
"ЗАО ""Арко""","500448030","6bb851ea","T3694-S0003","common"
"ЗАО ""Арматурно-Изоляторный завод""","790376608","4cdc5358","T2590-S0001","common"
"ЗАО ""АрмисИнвестГрупп""","192753312","064ea554","Armis-S0001","common"
"ЗАО ""АРТ-е Центр""","691700482","1736ac8c","T6383-S0001","common"
"ЗАО ""Артрент""","192018255","830da7db","T4669-S0001","common"
"ЗАО ""Артуа Информ""","291666082","1f225a92","T6520-S0001","common"
"ЗАО ""АРЦФОРЕСТ""","101103249","3893a69e","T5706-S0001","common"
"ЗАО ""АСАТ""","700014694","a8b8148a","T5571-S0001","common"
"ЗАО ""АСБ-Агро Городец""","790583762","d5138779","T4646-S0001","common"
"ЗАО ""АСБ-Агро Кухтичи""","691324770","70ab0867","T4311-S0001","common"
"ЗАО ""АСБ-Агро Новатор""","391013445","256a35be","T4632-S0001","common"
"ЗАО ""АСБ-Агро Тетерино""","790819843","4490f62f","T4448-S0001","common"
"ЗАО ""АСиТ""","100308415","07ec7baa","T2251-S0001","common"
"ЗАО ""Ассоциация""","500054127","fd1874cc","T5636-S0001","common"
"ЗАО ""АТК""","691700574","98af1f3b","T6195-S0001","common"
"ЗАО ""АУДИТКОНСУЛЬТ""","100965726","a32990dc","T5008-S0001","common"
"ЗАО ""АУДИТ-ЭКСПЕРТ""","190369701","a17e8037","T3941-S0001","common"
"ЗАО ""АЭС-инвест""","191434919","a18d5add","T3062-S0001","common"
"ЗАО Банк ВТБ (Беларусь)","101165625","3cde3d4a","VTB-S0003","common"
"ЗАО ""Банковско-финансовая телесеть""","800011449","df32d952","T4260-S0001","common"
"ЗАО ""Банк ""Решение""","100789114","4ae4045b","T2920-S0004","common"
"ЗАО ""Банк РРБ""","100361187","4aa90d2a","RRB-S0014P","preferred"
"ЗАО ""Банк РРБ""","100361187","b47bf5c2","RRB-S0016","common"
"ЗАО ""Барановичиспецстрой""","200167308","d635f2da","T0984-S0001","common"
"ЗАО ""Белавионика""","490692195","1ccc298e","T6032-S0001","common"
"ЗАО ""БЕЛАВТОГАЗ""","100079168","28ffb73a","T4232-S0001","common"
